"Group","Status","Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"S","A",2,4,25,31,24,11,0,44,0,0,0,0,7,0,3,15,7,11,1,1,2,0,4,6,3,12,3,4,5,2,94,19,0,0,13,21,0,0,1,104,9,15,0,0,49,13,18,3,5,60,9,0,74,48,3,4,0,3,4,0,6,0,17,21,0,76,20,13,1,0,0,0,22,0,11,1,0,0,0,9,6,3,0,21,0,0,24,9,0,8,121,66,13,0,0,4,0,4,0,0,451,0,20,41,189,8,36,16,6,24,99,147,6,6,136,40,31,24,1,8,5,0,9,0,26,1
"S","A",2,0,0,0,89,0,0,0,0,0,1,76,0,0,0,38,24,16,2,2,1,7,1,8,5,0,0,47,0,0,68,0,0,0,0,3,9,7,0,43,0,28,1,0,27,5,1,42,4,318,44,0,7,1,1,1,56,39,7,2,0,0,1,0,0,1,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,153,0,1,5,0,0,0,130,0,0,0,0,0,0,0,0,0,1318,0,55,17,255,3,1,0,0,1,133,125,9,0,5,9,0,0,0,0,0,0,0,0,1,0
"C","A",91,3,5,7,954,4,0,16,2,1,0,64,0,1,49,38,40,28,3,6,1,1,8,7,12,1,0,47,0,0,32,1,0,3,0,4,7,3,1,42,3,17,0,1,82,4,4,27,9,371,64,1,10,3,4,4,46,30,18,7,0,1,0,1,0,16,1,19,2,1,1,0,3,4,0,0,2,0,0,3,9,0,0,117,1,0,14,4,0,1,310,17,20,9,3,0,0,3,1,0,2231,0,131,18,2259,7,5,1,0,6,1131,129,6,0,29,88,10,6,9,0,0,10,0,0,2,0
"S","A",2,11,105,186,25,25,53,94,4,4,4,58,17,3,3,43,27,18,37,3,0,7,9,8,2,16,8,19,12,45,13,1,27,6,12,7,2,2,31,36,10,13,0,8,117,109,30,44,8,247,47,0,10,120,14,22,10,16,4,16,11,1,8,7,10,156,29,6,22,2,11,1,12,9,22,37,29,3,14,6,64,22,9,45,6,4,225,45,8,5,623,216,72,33,13,0,5,6,11,3,733,3,35,15,455,13,156,71,43,33,165,573,2,0,477,116,132,152,8,7,6,6,8,3,138,4
"S","A",2,1,94,70,2,4,2,59,3,2,6,6,3,1,1,1,1,0,0,0,2,0,0,0,1,10,1,3,6,0,3,0,7,3,0,1,0,1,6,2,0,1,0,0,20,35,15,4,3,27,3,0,2,42,144,18,6,2,2,0,4,4,0,3,5,35,19,1,2,1,7,0,2,6,6,5,6,0,3,3,88,6,1,9,0,2,63,8,18,6,334,61,23,43,5,25,2,3,0,7,70,0,5,3,92,0,35,24,13,13,28,295,2,3,132,13,44,39,1,6,1,2,2,0,84,0
"S","A",1,6,2,2,0,0,0,27,41,19,1,35,1,0,2,31,26,6,18,3,2,2,1,5,4,1,0,0,0,0,2,0,0,7,0,45,5,3,14,103,3,5,4,0,6,19,0,0,0,242,24,0,33,83,87,12,15,18,0,7,0,29,0,0,0,15,43,0,4,0,13,0,21,43,0,0,0,0,2,0,156,26,0,0,15,9,139,47,0,0,15,7,1,20,0,0,0,0,23,0,634,19,6,12,585,0,0,11,0,45,75,163,0,0,24,452,0,0,68,0,0,6,0,0,30,0
"C","A",0,0,0,1,13,0,0,43,0,0,0,47,2,0,3,107,69,34,17,4,3,0,5,14,1,0,0,0,0,7,73,0,0,4,0,138,0,0,15,229,9,32,0,0,3,1,14,0,0,745,85,45,21,1,0,0,1,0,1,0,0,0,47,0,0,4,0,12,7,0,0,0,16,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,1291,29,10,3,8,0,1,0,1,0,72,3,0,0,4,436,1,0,0,0,0,1,0,0,0,0
"S","A",3,8,191,182,12,2,1,81,0,0,0,2,2,0,2,0,2,1,0,0,0,0,1,1,0,34,8,1,4,0,1,0,16,1,11,1,0,0,14,7,3,2,0,1,23,78,14,5,4,42,5,0,6,79,2,11,1,2,0,2,10,1,5,7,1,48,12,1,10,4,2,0,3,0,17,16,13,0,0,1,4,10,0,10,1,2,27,13,3,3,859,132,55,24,14,2,7,3,2,3,128,1,2,0,76,1,141,68,26,18,55,372,0,0,201,9,78,84,0,9,0,1,6,0,126,4
"C","A",16,9,119,219,80,51,3,133,5,1,6,84,8,5,3,58,49,22,17,6,21,3,16,14,11,48,7,39,12,5,37,0,33,7,8,11,13,12,27,63,8,19,10,33,142,89,44,14,6,561,90,1,27,133,4,22,59,35,18,3,18,2,8,13,4,125,38,13,19,2,20,1,24,5,21,17,28,2,32,11,61,24,2,138,8,3,148,35,7,2,1153,212,88,57,24,0,4,4,9,1,1446,7,50,33,1005,8,174,72,43,58,400,624,7,2,501,308,114,166,15,6,0,21,8,12,167,9
"C","A",1,2,37,41,75,9,0,21,37,0,1,96,3,2,9,48,29,20,4,4,9,12,11,6,3,10,1,20,2,1,28,11,5,21,2,4,10,4,17,53,3,22,2,8,32,44,8,22,18,371,68,2,14,32,5,3,42,24,37,15,3,2,3,4,2,35,9,19,3,0,29,0,16,2,10,7,7,0,8,0,20,5,1,129,2,2,91,9,1,1,451,41,11,7,7,0,2,1,0,1,970,2,26,31,404,2,50,10,12,24,186,347,22,0,153,125,30,86,31,5,0,4,1,0,46,0
